,2,Dermatitis,"Dermatitis simply means skin inflammation, but it embraces a range of ailments. In most cases the early stages are characterized by red, itchy skin, although acute attacks may result in crusty scales or blisters that ooze fluid.",Dermatitis,"Your Dermatitis can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your dermatitis getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Dermatitis for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experiencesigns of bettermentat the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Integumentary,Skin,Epidermis,Ectoderm,Psora or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure,1
,3,CONTACT DERMATITIS,"Contact dermatitis is an allergic reaction that occurs after your skin comes in contact with an allergen such as poison ivy, washing powders, perfumes, or other irritants.",Irritative contact dermatitis,"Your Contact Dermatitis can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your contact dermatitis getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Contact Dermatitis for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experience signs of betterment at the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Immune System,Skin,Autoimmunity,Ectoderm,"Syphilis or Destruction of an organ or a tissue and its constituent cells due to auto-immunity or necrosis, etc where it can no longer perform its normal physiological function",1
,3,CONTACT DERMATITIS,"Contact dermatitis is an allergic reaction that occurs after your skin comes in contact with an allergen such as poison ivy, washing powders, perfumes, or other irritants.",ICD,"Your Contact Dermatitis can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your contact dermatitis getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Contact Dermatitis for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experience signs of betterment at the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Immune System,Skin,Autoimmunity,Ectoderm,"Syphilis or Destruction of an organ or a tissue and its constituent cells due to auto-immunity or necrosis, etc where it can no longer perform its normal physiological function",1
,4,ECZEMA WITH IRRITATION OR INFLAMMATION,ECZEMA WITH CRACKS AND BLEEDING,Eczema,"Your Eczema can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your Eczema getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Eczema for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experiencesigns of bettermentat the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Immune System,Skin,Epidermis,Ectoderm,Psora or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure,1
,4.1,ECZEMA WITH INDURATION OR HARDENING,ECZEMA WITH CRACKS AND BLEEDING,Eczema,"Your Eczema can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your Eczema getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Eczema for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experiencesigns of bettermentat the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Immune System,Skin,Epidermis,Ectoderm,"Sycosis or Disturbance or change in the normal physiological structure of a tissue due to excess accumulation, proliferation or shrinking of cells involved.",1
,4.2,ECZEMA WITH CRACKS AND BLEEDING,ECZEMA WITH CRACKS AND BLEEDING,Eczema,"Your Eczema can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your Eczema getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Eczema for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experiencesigns of bettermentat the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Immune System,Skin,Epidermis,Ectoderm,"Syphilis or Destruction of an organ or a tissue and its constituent cells due to auto-immunity or necrosis, etc where it can no longer perform its normal physiological function",1
,5,FUNGAL INFECTIONS OF NAILS,"Onychomycosis is a fungal infection of the nail. It is the most common disease of the nails and constitutes about half of all nail abnormalities.This condition may affect toenails or fingernails, but toenail infections are particularly common.",Tinea unguium,"Your Fungal infection of nails can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your Fungal infection of nails getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Fungal infection of nails for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experience signs of betterment at the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Integumentary,Skin,Dermis,Ectoderm,Psora or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure,1
,5,FUNGAL INFECTIONS OF NAILS,"Onychomycosis is a fungal infection of the nail. It is the most common disease of the nails and constitutes about half of all nail abnormalities.This condition may affect toenails or fingernails, but toenail infections are particularly common.",Dermatophytes,"Your Fungal infection of nails can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your Fungal infection of nails getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Fungal infection of nails for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experience signs of betterment at the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Integumentary,Skin,Dermis,Ectoderm,Psora or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure,1
,6,HERPES SIMPLEX,"Herpes is an infection that is caused by a herpes simplex virus (HSV). Oral herpes causes cold sores around the mouth or face. Genital herpes affects the genitals, buttocks or anal area. Genital herpes is a sexually transmitted disease (STD). It affects the genitals, buttocks or anal area. Other herpes infections can affect the eyes, skin, or other parts of the body. The virus can be dangerous in newborn babies or in people with weak immune systems.",Cold sores,"Your Herpes simplex can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your Herpes simplex getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Herpes simplex for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experiencesigns of bettermentat the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Integumentary,Skin,Dermis,Ectoderm,Psora or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure,1
,6,HERPES SIMPLEX,"Herpes is an infection that is caused by a herpes simplex virus (HSV). Oral herpes causes cold sores around the mouth or face. Genital herpes affects the genitals, buttocks or anal area. Genital herpes is a sexually transmitted disease (STD). It affects the genitals, buttocks or anal area. Other herpes infections can affect the eyes, skin, or other parts of the body. The virus can be dangerous in newborn babies or in people with weak immune systems.",fever blisters,"Your Herpes simplex can be treated through eHeilung alone. There will be no side-effects of our treatment. Its completely harmless if taken as advised by eHeilung. Apart from the your Herpes simplex getting better, you will also see positive changes at the level of you Mind, Energy, Sleep, Sexual desire, Appetite, etc. Once the suggested remedy is taken your general condition will get better first as your self repair mechanism will start working more efficiently and then later on the particular symptoms of disease will get better. The process will start from the centre (most important) to the periphery (least important). Please see our explanatory videos to understand more.",Curable,Get Remedy,"Generally it takes about half the time for a condition to be cured from the time it has started. So the earlier the better. For e.g: if you are suffering from Herpes simplex for 3 years, it may take you 1 yr and 6 months to get better. Having said that you should experiencesigns of bettermentat the mental and physical level in the first 100 days. Individual results will vary. Some constitutions get better faster than others. This depends on your genetic make up. The result will also depend on the accuracy of the inputs given by you to eHeilung or to a doctor so please make sure you are really honest with your inputs. In case you have a confusion regarding any particular input please do consult your existing physician or one of our experts.",4/5 in first 3 years. Individual results may vary.,Integumentary,Skin,Dermis,Ectoderm,Psora or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure or Functional disturbance only limited to altered sensations like pain from inflammation or increased sensitivity without any permanent alterations in the structure,1
